Persian Name,English Name
محله چینی ها,Chinatown
آنتی آنزیم,Anti-Enzyme
ترامپولین پارک,Trampoline Park
سفالگر,The Master Potter
شیر مرغ,Chicken's Milk
اسکیپ باکس 2 ( قلب سیاه),
اسکیپ باکس 1 ( ویروس),
استوژیت,
زار,Zaar
پایاپای,
پی شوم,
نام سرعت,
کاپوچین,
واردا,
دستباف,
,Unmatched: Cobble & Fog
,The Resistance: Avalon
,Lanterns: The Harvest Festival
,the crew
,paranormal detectives
,The Mind
کارتومیم,imagine
,Bang
,catan
,That's Not a Hat
,GWENT: The Witcher Card Game
,MicroMacro: crime city
,silver
,2 MicroMacro: Full House crime city
,Splendor
وارث,Senators
,zombie kittens
,3 MicroMacro:all in crime city
,4 MicroMacro: Showdown
,avalon quest
,7wonders duel
,exploding kittens
,Saboteur
,The Lord of the Rings: Duel for Middle-earth
,Cascadia
,Mazescape
سم پارتی,Pick Your Poison
,Decrypto
,Mysterium Park
,Unlock! Escape Adventures
,Dracula vs Van Helsing
موشتطیل,you've got crabs
,Splendor Duel
شب پره متقلب,Mogel Motte
جنگل مخوف,terrible jungle
خوکی,dirty pig
,Brass Birmingham
,Courtisans
,Anno 1800: The Board Game
,Wyrmspan
,Silver Mortal Kombat
The Dragon's Seven Tests,Unlock! Epic Adventures
,Last Message
,Battle for Rokugan
,Cactus Town
,Namiji
چیز میز,DroPolter
سایه ی سرخ,Inside Job
,Kluster
ریسک کارتی,Risk Strike
 بی لاف,spicy
,Icecool
,Star Wars: The Deckbuilding Game
,Codenames: Pictures
,Bang: Dice Game
,Coup
زیر خاکی,Dead Man's Draw
کاستل,Nox
,Lords of Waterdeep
,Power Grid
بمیر بخند,Dumb Ways to Die
,Chinatown
,Mindbug
,Schotten Totten
,Fugitive
خوک ناقلا,Spank The Pig
سین سین,Halli Galli
,Modern Art
,Sherlock 13
,Rick and Morty: Total Rickall
,Timeline
,Age of War
,Dune: Imperium Uprising
,Beasty Bar
,Lovecraft Letter
,Don't Mess with Cthulhu
,Captain Flip
,Ticket to Ride: Europe
پارتی کاپ,beat that
,Las Vegas
,Colt Super Express
,silver marvel and dc
,panic lab
,Akropolis
,"Unmatched: Battle of Legends, Volume One"
,Sea Salt and Paper
,Small World World of Warcraft
,Mord im Arosa
,Mr. Jack
امپراتور سوسکی,Cockroach Poker Royal
,Century: Spice Road
,Virus
کهن دژ,Citadels
رکب,Condottiere
,2 Beasty Bar: New Beasts in Town
,Unlock Lost in the Time Warp
,Squid Game: The Board Game
خائنین میان ما,Traitors Aboard
,Wayfarers of the South Tigris
تپه ندیده,Top Ten
,Camel Up Cards + Catch Up Trophies Exp
,Archaeology the new expedition
نارو,cash and guns
,Azul
,Beasty Bar 3 :Born to Be Wild
,Ghost Letters
,Everdell
,Sky Team
,6nimmt
,Minecraft card Game
سوسک پوکرباز,Cockroach Poker Royal
,jet set
,Blitzkrieg!: World War Two in 20 Minutes
,Cluedo
,Game of Life
,A Game of Thrones: B'Twixt
,secret hitler
پارکینگ شلوغ,rush hour
,Azul: Stained Glass of Sintra
,Skull king
,Unusual Suspects
منچ مخفی,Agent Dog
منچ سگی,DOG
,Mandala
,Samurai
,detective club
,Camel up
,Blokus
,pentago
,5211 Azul Special Edition
,Seven Ronin
پاتک,Ghost Blitz
,ghost blitz the dice game
حمله ارواح ۵ دقیقه به ۱۲,Geistesblitz 5 vor 12
,Monopoly
,Codenames: names
,Catan Dice Game
,Enigma
,Battle Line
,Yogi
,High Society
تبانی,COLLUSION
 آیوژیت Aiogite,Stella
,Scout
,Cryptid
,Tuki
,Mascarade
,Watson & Holmes
,For Sale
,Taco Cat
,wednesday
,Feed The Kraken
,fantasy realms
,Inuit
,Minecraft: Builders & Biomes
بزرگراه,Tokyo Highway
شتر گاو پلنگ,Taco Cat Goat Cheese Pizza
,7wonders
,Knarr
,Ready Set Bet
,Match of the Century
تارنکبوت,Tarantel Tango
,Long Shot: The Dice Game
,on a scale of one to t-rex
,Pandemic
,The Bloody Inn
,Risk
,Azul Duel
,Monopoly Deal
,Jekyll vs. Hyde
,Loot
,Gorilla marketing
,Vaalbara
,Colt Express
,Isle of Trains: All Aboard
,Ark Nova
,gorus maximus
,Five Tribes
دسیسه,Conspiracy: Abyss Universe
